﻿Consumeable_SlgPersonal,Consumables,ของใช้
ItemInfo_dlc紫竹箫,"There are seven holes in the front and one in the back, often played together with the silk stringed guqin, also known as ""elegant flute"".","มีรูระบายเสียงอยู่ด้านหน้าเจ็ดด้านหลังหนึ่ง มักใช้บรรเลงร่วมกับกู่ฉินสายไหม จึงเรียกว่า ""ขลุ่ยหรูหรา"""
ItemInfo_dlc玉屏箫,"It is popular in Yunnan and Guizhou, and is a treasure among flutes.",แพร่หลายในพื้นที่ยูนนานและกุ้ยโจว และในหมู่ขลุ่ยถือเป็นสมบัติล้ำค่า
ItemInfo_dlc牛角琵琶,"A lute made with a small amount of buffalo horn, better in both value and sound quality.",ผีผาที่ทำจากเขาควายเพียงเล็กน้อย ทำให้มีมูลค่าและเสียงดียิ่งขึ้น
ItemInfo_dlc流云衫,"Clothes made of semi-transparent gauze, comfortable and elegant, light as nothing.",เสื้อผ้าที่ทำจากผ้าตาข่ายกึ่งโปร่งใส สวมใส่สบายและพลิ้วไหว น้ำหนักเบาราวกับไม่ใส่อะไรเลย
ItemInfo_dlc金刚甲,"Long-forged steel armor, hence indestructible.",เกราะเหล็กกล้าสงครามที่ผ่านการตีมาอย่างยาวนาน จึงมีความแข็งแกร่งไม่เสื่อมสลาย
ItemInfo_dlc明光铠,The armor is polished and looks very shiny.,เกราะที่มีแผ่นเกราะขัดเงา ดูเงางามและเรียบเนียน
ItemInfo_dlc朱雀服,"The legendary treasure clothes that can only be made with the feathers of a divine bird, although it looks thin, it is exceptionally warm when worn, and can move freely in ice and snow.",เป็นเสื้อผ้าในตามตำนาน ที่ทำจากขนของนกศักดิ์สิทธิ์ แม้จะดูบางเบา แต่เมื่อสวมใส่แล้วกลับอบอุ่นอย่างไม่น่าเชื่อ สามารถเคลื่อนไหวได้อย่างอิสระ แม้ในสภาพอากาศหนาวจัดหิมะปกคลุม
ItemInfo_dlc麒麟甲,"Armor made of steel, with neatly arranged and staggered armor pieces all around.",เกราะที่ทำจากเหล็กกล้า ที่ตีขึ้นมาอย่างประณีต แผ่นเกราะจัดเรียงอย่างเป็นระเบียบ สลับซับซ้อน ครอบคลุมทั่วทุกส่วน
ItemInfo_dlc玄武铠,"Armor made of black metal, like a vajra bone when worn, impervious to swords and spears.",เกราะที่ทำจากเหล็กดำ เมื่อสวมใส่แล้วเหมือนกับมีกระดูกทองคำ แข็งแกร่งและทนทาน กันดาบและกระบี่ได้ดี
ItemInfo_dlc紫罗裙,"Made of fine silk, light as nothing.",ทำจากไหมและผ้าบางชั้นดี สัมผัสเบาบางราวกับไม่มีอะไร
ItemInfo_dlc天蚕宝衣,"Clothes made of golden silkworm silk as material, although they look light and soft, they are impervious to swords and spears, and have excellent protection.",เสื้อผ้าทำจากไหมทองคำที่ทอเป็นลาย แม้จะดูเบาบางและนุ่มนวล แต่กลับกันกระบี่และดาบได้อย่างไม่มีปัญหา มีความสามารถในการป้องกันเป็นเลิศ
ItemInfo_dlc霹雳宝铠,"Heavy armor, every step taken after wearing it will make a sound like thunder.",เกราะอันหนักหน่วง เมื่อสวมใส่แล้วทุกฝีก้าวจะสร้างเสียงดังคล้ายฟ้าร้อง
ItemInfo_dlc锦襕袈裟,"A cassock that can only be worn by accomplished monks, even within the Buddhist community, only a few are qualified to wear it.",จีวรที่สามารถสวมใส่ได้ เฉพาะพระอาจารย์ที่บรรลุธรรมสูงส่งเท่านั้น แม้ในวงการพระพุทธศาสนาเอง ผู้ที่มีคุณสมบัติในการสวมใส่ก็มีเพียงไม่กี่คนเท่านั้น
ItemInfo_dlc广袖流仙裙,"Made according to the style of a princess's dress in the palace, even ordinary women will look like a fairy when wearing it, attracting countless admirers.",ทำขึ้นตามแบบชุดองค์หญิงในราชวัง เมื่อสวมใส่แล้ว แม้แต่สตรีธรรมดาก็งดงามดั่งเทพธิดา ดึงดูดผู้คนมากมายให้ติดตาม
ItemInfo_dlc象牙琵琶,"A lute made of ivory and yellow rosewood, quite expensive.",ผีผาทำจากงาช้างและไม้พะยูงสีเหลือง มีราคาค่อนข้างแพง
ItemInfo_dlc精铁内甲,"Armor made of refined iron, providing effective protection.",เกราะที่ทำจากเหล็กบริสุทธ์ ให้การปกป้องที่มีประสิทธิภาพ
ItemInfo_dlc锁子铠,"Armor forged from refined iron, with rings connecting each piece, thick as a city wall.",เกราะของมันถูกเชื่อมโยงกันด้วยวงแหวนห้าวง แต่ละชิ้นเชื่อมต่อกัน หนาเท่ากับกำแพงเมือง
ItemInfo_dlc僧袍,"The clothes worn by monks, simple and unadorned.",เสื้อผ้าที่หลวงจีนสวมใส่ เรียบง่าย ไม่มีลวดลาย
ItemInfo_dlc道袍,"The clothes worn by Taoists, with a faint smell of incense.",เสื้อผ้าที่นักพรตสวมใส่ มีกลิ่นหอมอ่อนๆ ของธูป
ItemInfo_dlc佛手玉坠,Jade pendant in the shape of a Buddha's hand.,จี้หยกรูปหัตถ์ของพระพุทธเจ้า
ItemInfo_dlc投名状,A token used among green forest heroes to show loyalty.,ของสำคัญที่ใช้แสดงถึงความจงรักภักดีระหว่างจอมยุทธ์แห่งพงไพร
ItemInfo_dlc工字佩,"A jade pendant in the shape of the Chinese character ""工"".","จี้หยกที่ทำเป็นตัวอักษรจีนรูปตัว ""工"""
ItemInfo_dlc三彩乐俑,"A relic from the previous dynasty, depicting people singing and dancing.",วัตถุโบราณจากราชวงศ์ก่อน แสดงภาพผู้คนร้องรำทำเพลงในยุคนั้น
ItemInfo_dlc三足金蟾,"A small statue of a three-legged golden toad, which is said to spit out money and attract wealth.",รูปปั้นคางคกทองคำสามขาขนาดเล็ก ตำนานเล่าว่า คางคกสามขาสามารถพ่นเงินออกมาได้ มีความสามารถในการดูดทรัพย์
ItemInfo_dlc双鱼玉佩,"A yin yang jade ornament carved from white jade, symbolizing double good luck.",จี้หยกหยินหยาง แกะสลักจากหยกขาว เป็นสัญลักษณ์ของความโชคดีที่คู่กัน
ItemInfo_dlc玉莲花,"A lotus jade pendant carved from top-grade white jade, looks lifelike.",จี้หยกบัวแกะสลักจากหยกขาวชั้นดีดูสมจริง
ItemInfo_dlc滴水观音,"A pendant carved from top-grade green jade, the whole body is green and shiny.",จี้ที่แกะสลักจากหยกสีเขียวชั้นดี ทั้งชิ้นมีสีเขียวอมฟ้าใสและเปล่งประกาย
ItemInfo_dlc玉辟邪,"It is said to be able to ward off evil spirits, and the elderly believe in it.",ว่ากันว่าสามารถปัดเป่าวิญญาณชั่วร้ายได้ และผู้สูงอายุก็เชื่อในสิ่งนี้
ItemInfo_dlc金雕长羽,"Feathers fallen from birds of prey, hard to the touch, wearing it in some places is a symbol and proof of courage.",ขนนกที่ร่วงจากนกล่าเหยื่อ สัมผัสค่อนข้างแข็ง ในบางพื้นที่การสวมใส่มันถือเป็นสัญลักษณ์ และเครื่องพิสูจน์ความกล้าหาญ
ItemInfo_dlc玉如意,"A ruyi made of jade, symbolizing smooth sailing, but in reality, everyone uses it to scratch itches.",หยกรู่อี้ที่ทำจากหยกเขียว เป็นสัญลักษณ์ของความสมหวังและความสุขใจ แต่ในความเป็นจริง ผู้คนมักใช้มันสำหรับเกาแก้คัน
ItemInfo_dlc寒玉玦,"A jade bracelet made of cold jade, often worn as an accessory by the rich. It's unknown from whom Hua Qingqing stole it.",สร้อยข้อมือหยกที่ทำจากหยกเย็น คนมีฐานะมักสวมใส่เป็นเครื่องประดับ ไม่มีใครรู้ว่าหัวชิงชิงขโมยมันมาจากใคร
ItemInfo_dlc金蚕蛊,"Legend has it that various poisonous insects are sealed in a jar, and after they kill each other, the last one remaining will be like a golden silkworm, extremely poisonous.",ตำนานเล่าว่า ถ้าจับแมลงพิษหลายชนิดใส่ไว้ในภาชนะปิดผนึก แล้วปล่อยให้มันกัดกันเอง ตัวสุดท้ายที่รอดอยู่ จะมีรูปร่างเหมือนตัวหนอนไหมทอง และมีพิษร้ายแรงอย่างยิ่ง
ItemInfo_dlc凤鸟玉佩,A jade pendant carved in the shape of a phoenix bird.,จี้หยกแกะสลักเป็นรูปวิหคเพลิง
ItemInfo_dlc天穹之印,"An incomplete seal, you can vaguely make out the character ""Sky"".","ตราประทับที่ไม่สมบูรณ์, สามารถประทับตัวอักษร ""ท้องฟ้า"" ได้คลุมเครือ"
ItemInfo_dlc金疮药(小),<#d09a09>Usage: Take</color>,<#d09a09>การใช้งาน: กิน</color>
ItemInfo_dlc金疮药(中),<#d09a09>Usage: Take</color>,<#d09a09>การใช้งาน: กิน</color>
ItemInfo_dlc金疮药(大),<#d09a09>Usage: Take</color>,<#d09a09>การใช้งาน: กิน</color>
ItemInfo_dlc续命丸(小),<#d09a09>Usage: Take</color>,<#d09a09>การใช้งาน: กิน</color>
ItemInfo_dlc续命丸(中),<#d09a09>Usage: Take</color>,<#d09a09>การใช้งาน: กิน</color>
ItemInfo_dlc续命丸(大),<#d09a09>Usage: Take</color>,<#d09a09>การใช้งาน: กิน</color>
ItemInfo_dlc培元膏(小),<#d09a09>Usage: Take</color>,<#d09a09>การใช้งาน: กิน</color>
ItemInfo_dlc培元膏(中),<#d09a09>Usage: Take</color>,<#d09a09>การใช้งาน: กิน</color>
ItemInfo_dlc培元膏(大),<#d09a09>Usage: Take</color>,<#d09a09>การใช้งาน: กิน</color>
ItemInfo_dlc聚元丹(小),<#d09a09>Usage: Take</color>,<#d09a09>การใช้งาน: กิน</color>
ItemInfo_dlc聚元丹(中),<#d09a09>Usage: Take</color>,<#d09a09>การใช้งาน: กิน</color>
ItemInfo_dlc聚元丹(大),<#d09a09>Usage: Take</color>,<#d09a09>การใช้งาน: กิน</color>
ItemInfo_dlc小还丹(小),<#d09a09>Usage: Take</color>,<#d09a09>การใช้งาน: กิน</color>
ItemInfo_dlc小还丹(中),<#d09a09>Usage: Take</color>,<#d09a09>การใช้งาน: กิน</color>
ItemInfo_dlc小还丹(大),<#d09a09>Usage: Take</color>,<#d09a09>การใช้งาน: กิน</color>
ItemInfo_dlc大还丹(小),<#d09a09>Usage: Take</color>,<#d09a09>การใช้งาน: กิน</color>
ItemInfo_dlc大还丹(中),<#d09a09>Usage: Take</color>,<#d09a09>การใช้งาน: กิน</color>
ItemInfo_dlc大还丹(大),<#d09a09>Usage: Take</color>,<#d09a09>การใช้งาน: กิน</color>
ItemInfo_dlc蜜饯果子,<#d09a09>Usage: Take</color>,<#d09a09>วิธีใช้ : รับประทาน</color>
ItemInfo_dlc雕花橙子,<#d09a09>Usage: Take</color>,<#d09a09>วิธีใช้ : รับประทาน</color>
ItemInfo_dlc雪花糕,<#d09a09>Usage: Take</color>,<#d09a09>วิธีใช้ : รับประทาน</color>
ItemInfo_dlc铜钱包裹(小),Can be used to obtain Coins.,ใช้แล้วจะได้รับเหรียญทองแดง
ItemInfo_dlc铜钱包裹(中),Can be used to obtain Coins.,ใช้แล้วจะได้รับเหรียญทองแดง
ItemInfo_dlc铜钱包裹(大),Can be used to obtain Coins.,ใช้แล้วจะได้รับเหรียญทองแดง
ItemInfo_dlc发展包裹(小),Can be used to obtain Meditation Points.,ใช้แล้วจะได้รับค่าสมาธิ
ItemInfo_dlc发展包裹(中),Can be used to obtain Meditation Points.,ใช้แล้วจะได้รับค่าสมาธิ
ItemInfo_dlc发展包裹(大),Can be used to obtain Meditation Points.,ใช้แล้วจะได้รับค่าสมาธิ
ItemInfo_dlc粮食包裹(小),Can be used to obtain Food.,ใช้แล้วจะได้รับเสบียง
ItemInfo_dlc粮食包裹(中),Can be used to obtain Food.,ใช้แล้วจะได้รับเสบียง
ItemInfo_dlc粮食包裹(大),Can be used to obtain Food.,ใช้แล้วจะได้รับเสบียง
ItemInfo_dlc矿物包裹(小),Can be used to obtain Minerals.,ใช้แล้วสามารถได้รับแร่
ItemInfo_dlc矿物包裹(中),Can be used to obtain Minerals.,ใช้แล้วสามารถได้รับแร่
ItemInfo_dlc矿物包裹(大),Can be used to obtain Minerals.,ใช้แล้วสามารถได้รับแร่
ItemInfo_dlc药材包裹(小),Can be used to obtain Herbs.,ใช้แล้วสามารถได้รับสมุนไพร
ItemInfo_dlc药材包裹(中),Can be used to obtain Herbs.,ใช้แล้วสามารถได้รับสมุนไพร
ItemInfo_dlc药材包裹(大),Can be used to obtain Herbs.,ใช้แล้วสามารถได้รับสมุนไพร
ItemInfo_dlc木材包裹(小),Can be used to obtain Wood.,ใช้แล้วสามารถได้รับไม้
ItemInfo_dlc木材包裹(中),Can be used to obtain Wood.,ใช้แล้วสามารถได้รับไม้
ItemInfo_dlc木材包裹(大),Can be used to obtain Wood.,ใช้แล้วสามารถได้รับไม้
ItemInfo_dlc武道源流(小),"Can be used to level up Disciples, note that outer sect Disciples can only level up to 6.",สามารถพัฒนาระดับลูกศิษย์ได้ โปรดทราบว่า สำหรับศิษย์นอกสำนัก สามารถพัฒนาได้สูงสุดเพียงระดับ 6 เท่านั้น
ItemInfo_dlc武道源流(中),"Can be used to level up Disciples, note that outer sect Disciples can only level up to 6.",สามารถพัฒนาระดับลูกศิษย์ได้ โปรดทราบว่า สำหรับศิษย์นอกสำนัก สามารถพัฒนาได้สูงสุดเพียงระดับ 6 เท่านั้น
ItemInfo_dlc武道源流(大),"Can be used to level up Disciples, note that outer sect Disciples can only level up to 6.",สามารถพัฒนาระดับลูกศิษย์ได้ โปรดทราบว่า สำหรับศิษย์นอกสำนัก สามารถพัฒนาได้สูงสุดเพียงระดับ 6 เท่านั้น
ItemInfo_dlc铜钱,Main resource for power development.,ทรัพยากรหลักในการพัฒนาพลังงาน
ItemInfo_dlc贡献点,Main resource for power development.,ทรัพยากรหลักในการพัฒนากองกำลัง
ItemInfo_dlc食物,Main resource for power development.,ทรัพยากรหลักในการพัฒนาพลังงาน
ItemInfo_dlc铁矿,Main resource for power development.,ทรัพยากรหลักในการพัฒนาพลังงาน
ItemInfo_dlc药品,Main resource for power development.,ทรัพยากรหลักในการพัฒนาพลังงาน
ItemInfo_dlc木材,Main resource for power development.,ทรัพยากรหลักในการพัฒนาพลังงาน
ItemInfo_dlc破空梭,Catch them off guard and hit the key points directly.,โจมตีโดยที่ไม่ทันระวังตั้งตัวและโจมตีจุดสำคัญโดยตรง.
ItemInfo_dlc疾风刺,"The shot is extremely fast, making it difficult for people to guard against.",การจู่โจมนั้นรวดเร็วมาก ทำให้ผู้คนยากที่จะป้องกันได้
ItemInfo_dlc龙蛇笔法,"This is a Martial Arts Manual that records the Dragon Snake Pen. The moves are like a dragon piercing the clouds, catching the enemy off guard.",นี่ตำราวิทยายุทธที่บันทึกวิชาพู่กันงูมังกรร่ายรำ กระบวนท่าเหมือนกับมังกรเหินทะลุเมฆาคว้าจับศัตรูโดยไม่ระวังตัว
ItemInfo_dlc狂风扇诀,"This is a fan technique Manual that records the Tornado Fan. The sudden wind has the power to pull a thousand pounds, and no one can match it.",ตำราวิทยายุทธพัดที่บันทึกวิชาพัดวายุคลั่ง รวบรวมวิธีการใช้พัดให้เกิดลมพายุ แรงจนสามารถยกสิ่งของหนักพันชั่ง ไม่มีใครเทียบได้
ItemInfo_dlc流云飞扇,This is a Martial Arts Manual that records the basic fan technique - Drifting Cloud Fan.,นี่คือตำราวิทยายุทธที่บันทึกวิชาพัดขั้นพื้นฐาน - พัดเมฆาล่องลอย
ItemInfo_dlc阳春白雪,"The lute score of ""Spring White Snow"", passed down from ancient times, extremely elegant.","บทเพลงผีผา ""หิมะในฤดูใบไม้ผลิ"" สืบทอดกันมาตั้งแต่สมัยโบราณ ความสูงส่งเป็นเลิศ"
ItemInfo_dlc碧涧流泉,"The flute score of ""Flowing Mountain Stream"", the style is playful and smooth, hard to find in the market.","บทเพลงขลุ่ย ""ลำธารภูเขาน้ำตก"" มีท่วงทำนองไหลลื่นและนุ่มนวลซึ่งหาได้ยากในท้องตลาด"
ItemInfo_dlc暗香凌波,"The fragrance is floating, the four directions are the cage.",กลิ่นหอมอ่อนๆ ลอยฟุ้งไปทั่ว ทั่วสี่ทิศถูกกักขังไว้
ItemInfo_dlc泛沧浪,"The score of ""Fan Canglang"", the music is elegant and makes people put down their guard, then attack with the sound of the piano.",บทเพลง “เพลงแห่งเกลียวคลื่น” ดนตรีไพเราะทำให้คนไม่ระวังตัวแล้วโจมตีด้วยเสียงกู่ฉิน
ItemInfo_dlc阳关三叠,"The score of ""Triassis Yangguan"", originally a farewell song, now means the separation of yin and yang.","บทเพลง ""ด่านหยางกวนสามท่อน"" เดิมเป็นเพลงอำลา บัดนี้หมายถึงการแยกหยินและหยางออกจากกัน"
ItemInfo_dlc音波功,"More like a martial art than music, using MP to attack the enemy with sound waves, can achieve a deafening effect.",เหมือนตำรายุทธ์มากกว่าวิชาดนตรี ใช้พลังภายในเพื่อสร้างคลื่นเสียง ที่มีพลังสูงมากจนโจมตีศัตรูได้ เสียงนั้นสามารถสร้างสถานะที่ทำให้หูหนวกได้
ItemInfo_dlc一指禅,A Manual lost by a martial artist was fortuitously obtained by Fang Xiao Bai.,ตำราวิทยายุทธที่หายสาบสูญ ถูกบันทึกโดยจอมยุทธ์ลึกลับ ฟางเสี่ยวไป๋ได้รับมันมาโดยบังเอิญ
ItemInfo_dlc罗汉拳法,"A manual recording the basic boxing method of the Shifa Temple - Arhat Fist, more like basic skill training than a martial arts routine.",บันทึกตำราวิชาหมัดมวยพื้นฐานของอารามซื่อฟา - หมัดอรหันต์ เหมือนจะเป็นตำราฝึกทักษะพื้นฐานมากกว่าตำราวรยุทธ
ItemInfo_dlc雷云掌,"A fierce boxing technique, which is like a thunderbolt in a clear sky when used.",เป็นวิชาฝ่ามือที่ดุร้าย เมื่อใช้ออกจะดุดันและทรงพลัง ดุจดังสายฟ้าฟาดกลางวันแสกๆ หรือเสียงฟ้าร้องที่ดังกึกก้อง
ItemInfo_dlc七巧如意手,"A sophisticated boxing technique, with a total of seven moves, each of which is exquisitely unique.",วรยุทธ์หมัดมวยที่ซับซ้อน มีทั้งหมด 7 กระบวนท่า แต่ละท่ามีเอกลักษณ์เฉพาะตัวอย่างประณีต
ItemInfo_dlc逍遥拳法,"Once the unique martial arts of a certain martial arts sect, it is now a fragmentary copy, but still reveals its exquisite agility.",ครั้งหนึ่งเคยเป็นวิชาเฉพาะของบางสำนักในยุทธภพ ปัจจุบันเหลือเพียงแค่ฉบับที่ขาดหายไป ออกหมัดอิสระไร้ห่วงไร้พะวง งดงามประณีตและพลิ้วไหว
ItemInfo_dlc黑虎拳,"A popular boxing technique among the common people, mostly about how to use Brute force Attack on the opponent's heart.",วิชาหมัดที่แพร่หลายในหมู่ชาวบ้าน โดยทั่วไปแล้วจะเขียนถึงวิธีการใช้กำลังมหาศาล โจมตีไปที่ทรวงอกของคู่ต่อสู้
ItemInfo_dlc迷魂毒掌,"A Manual that records a cunning and insidious martial arts routine, the user needs to have a high understanding of Toxicology.",ตำราที่บันทึกกระบวนท่าของวิชาภายนอก ที่ร้ายกาจและอำมหิต ผู้ใช้ต้องมีความเข้าใจในศาสตร์พิษในระดับสูงถึงจะฝึกวิชานี้ได้
ItemInfo_dlc连环掌,"It records a complete and coherent set of palm techniques, it's unknown if one has to start over if interrupted.",บันทึกกระบวนท่าวิชาฝ่ามือที่สมบูรณ์และต่อเนื่อง ไม่รู้ว่าถ้าถูกขัดจังหวะจะต้องเริ่มใหม่ทั้งหมดหรือไม่
ItemInfo_dlc开山刀法,"A very fierce knife technique, but even if you learn it, you can't really split the mountain.",วิชาการใช้ดาบที่มีพลังมาก แต่ถึงจะเรียนรู้แล้ว ก็ไม่สามารถที่จะไปผ่าภูเขาให้แยกออกได้จริงๆ
ItemInfo_dlc破甲刀法,"A manual that records the Armor Breaker Blade technique, suitable for dealing with enemies who are good at defense.",คัมภีร์เคล็ดวิชาดาบผ่าเกราะ เหมาะสำหรับการจัดการกับศัตรูที่เก่งด้านการป้องกัน
ItemInfo_dlc雁行刀法,A manual that records the basic knife technique of the rivers and lakes - Wild Goose Blade.,ตำราวรยุทธที่บันทึกวิชาดาบขั้นพื้นฐานของยุทธภพ - ดาบห่านป่า
ItemInfo_dlc风沙刀法,"A knife technique originated from the desert, each move reminds people of the wind and sand of the desert.",วรยุทธดาบที่มีต้นกำเนิดมาจากทะเลทราย แต่ละกระบวนท่าทำให้ผู้คนนึกถึงสายลม และทรายในทะเลทราย
ItemInfo_dlc修罗刀法,"The knife technique is open and close, every move is fatal, only attack and not defend.",วิชาดาบฟาดฟันวงกว้าง โจมตีรวดเร็วรุนแรง ทุกกระบวนท่าหมายเอาชีวิต มีเพียงแต่รุก ไม่มีรับ
ItemInfo_dlc太乙剑法,"The sword technique of Taoism, square and upright, step by step.",วิชากระบี่ของลัทธิเต๋า เน้นเรียบง่าย แปรเปลี่ยนตามแบบแผน
ItemInfo_dlc浣纱剑法,A sword technique Manual that records Huansha Sword.,คัมภีร์กระบี่ที่บันทึกวิชากระบี่ล่าสังหาร
ItemInfo_dlc须弥剑法,A Martial Arts Manual that records the basic sword technique of Jianghu - Sumeru Sword.,ตำราวรยุทธ์ที่บันทึกวิชากระบี่พื้นฐานของยุทธภพ - เพลงกระบี่เขาพระสุเมรุ
ItemInfo_dlc九宫剑法,"The swordsmanship Manual of the Nine Diagrams Sword, a sword technique realized by a predecessor observing the stars at night.",ตำราวิชากระบี่ที่บันทึกเพลงกระบี่เก้าลักษณ์ เป็นวิชากระบี่ที่ปรมาจารย์ท่านหนึ่งคิดค้นขึ้น หลังจากสังเกตดวงดาวบนท้องฟ้ายามค่ำคืน
ItemInfo_dlc回风剑法,"A Manual that records the Wind Reversal Sword, with this move, you won't be afraid of the heat in summer!",คัมภีร์กระบี่ที่บันทึกวิชากระบี่ลมหวน ด้วยกระบวนท่านี้ เจ้าจะไม่กลัวความร้อนในฤดูร้อนอีกต่อไป!
ItemInfo_dlc莲花妙剑,"A sword technique Manual that records Lotus Flower Sword, it is said that the person who recorded this Manual was a poet.",เคล็ดวิชาเพลงกระบี่ดอกบัว ว่ากันว่าผู้ที่บันทึกตำรานี้เป็นนักกวี
ItemInfo_dlc游龙剑法,A Martial Arts Manual that records the basic sword technique of Jianghu - Dragon Roaming Sword.,ตำราวรยุทธที่บันทึกวิชากระบี่พื้นฐานของยุทธภพ - กระบี่มังกรร่ายรำ
ItemInfo_dlc大力棍法,A Martial Arts Manual detailing the basic staff technique of the martial world - Brutal Staff.,ตำราวิชากระบองขั้นพื้นฐานของยุทธภพ - กระบองพิฆาต
ItemInfo_dlc破阵大枪,"A spear technique suitable for battlefield use, widely circulated in military camps.",วิทยายุทธหอกที่เหมาะสำหรับใช้ในสนามรบ แพร่หลายในค่ายทหาร
ItemInfo_dlc腐尸枪法,"A Martial Arts Manual detailing the Rotting Spear technique, a sinister spear technique used in conjunction with various poisons. All heroes in the world avoid it like the plague.",คัมภีร์วิทยายุทธที่บันทึกวิชาเพลงหอกสลายซาก ซึ่งเป็นวิชาหอกที่ใช้ร่วมกับยาพิษต่างๆ มีความอำมหิตและเล่ห์เหลี่ยม จอมยุทธ์ทั่วหล้าต่างพากันหลีกเลี่ยงเหมือนกับงูพิษและแมงป่อง
ItemInfo_dlc普渡杖法,"A Buddhist staff technique, used to save all beings, it injures people but does not kill.",วิชาไม้เท้าของชาวพุทธ เน้นช่วยเหลือสรรพสัตว์ ทำร้ายศัตรูได้ แต่ไม่สังหาร
ItemInfo_dlc蟠龙棍法,A Martial Arts Manual detailing the basic staff technique of the martial world - Dragon Staff.,ตำราวิชาพลองขั้นพื้นฐานของยุทธภพ - พลองมังกร
ItemInfo_dlc韦陀杖法,A Martial Arts Manual detailing the basic staff technique of the Shifa Temple - Veda Staff.,ตำราวรยุทธที่บันทึกวิชาไม้เท้าขั้นพื้นฐานของอารามซื่อฟา - พลองพระเวท
ItemInfo_dlc六合枪法,A Martial Arts Manual detailing the basic spear technique of the martial world - Six Forms Spear.,ตำราวิชาหอกขั้นพื้นฐานของยุทธภพ - หอกหกประสาน
ItemInfo_dlc儒雅风流,"Every move you make exudes an elegant and honorable demeanor, causing others to lose their spirit at first sight.",ทุกกระบวนท่าล้วนแสดงถึงกิริยา มารยาทที่สง่างามและมีเกียรติ ทำให้ผู้พบเห็น ต้องสูญเสียจิตวิญญาณในการต่อสู้ตั้งแต่แรกเห็น
ItemInfo_dlc凌波诀,"Ride the waves, move like a shadow, always one step ahead.",โต้คลื่น เคลื่อนตัวดั่งเงา นำหน้าหนึ่งก้าวเสมอ
ItemInfo_dlc金钟罩,"Buddhist heart method, excels in Defense, invulnerable to swords and blades once mastered.",วิชาฝึกจิตใจตามหลักพุทธศาสนา มีจุดเด่นในการป้องกันตัว เมื่อฝึกฝนจนสำเร็จแล้ว ร่างกายจะสามารถต้านทานกระบี่และดาบได้
ItemInfo_dlc腐毒功,"Poisonous internal power, once mastered, the body is surrounded by poisonous gas.",วิชาพลังภายในที่ชั่วร้าย เมื่อฝึกจนสำเร็จ จะมีไอพิษล้อมรอบร่างกาย
ItemInfo_dlc金匮要略,"Not only can it be used to detoxify various poisons, but it also has the effects of strengthening the body, beautifying and nourishing the face.",ไม่เพียงแต่ใช้แก้พิษได้ทุกชนิดเท่านั้น แต่ยังมีผลทำให้ร่างกายแข็งแรง งดงาม และบำรุงใบหน้าอีกด้วย
ItemInfo_dlc玄煞劲,"Protect with the power of Xuan Sha, making the enemy fear and unable to move.",ปกป้องด้วยพลังของ Xuan Sha ทำให้ศัตรูหวาดกลัวและไม่สามารถเคลื่อนไหวได้
ItemInfo_dlc捕风诀,"Focus training method for agility, always one step ahead.",การมุ่งเน้นที่การฝึกทักษะทางจิตที่คล่องแคล่ว จะทำให้คุณนำหน้าไปหนึ่งก้าวเสมอ
ItemInfo_dlc莽牛劲,"Powerful Charge like a wild bull, attacking the enemy's vital points.",เหมือนวัวป่าพุ่ง เข้าโจมตีจุดอ่อนของศัตรู
ItemInfo_dlc破甲劲,"This Qi focuses on attacking the enemy's weak points, breaking their Preparedness.",พลังลมปราณนี้มุ่งเน้นไปที่จุดอ่อนของศัตรู และทำลายการป้องกันของศัตรู
ItemInfo_dlc剑法典籍,This records information about various types of famous swords in the current martial arts world.,บันทึกข้อมูลเกี่ยวกับกระบี่วิเศษ และกระบี่ที่มีชื่อทุกชนิด ในยุทธภพปัจจุบัน
ItemInfo_dlc混元劲,"Transforming peaceful and natural internal breath into a strong and upright external force, reducing the consumption of internal power.",เปลี่ยนลมหายใจภายในที่สงบและเป็นธรรมชาติ ให้เป็นพลังภายนอกที่แข็งแกร่งและเที่ยงตรง ลดการใช้พลังภายใน
ItemInfo_dlc御兽术,"Records the basic beast taming skills of Beast Manor, which can effectively enhance the combat skills of pets.",บันทึกทักษะพื้นฐานของการควบคุมสัตว์ในหมู่ตึกหมื่นอสูร ซึ่งสามารถเพิ่มศักยภาพในการต่อสู้ของสัตว์เลี้ยงได้อย่างมีประสิทธิภาพ
ItemInfo_dlc调息法,"It can keep you young forever, maintaining your youthful appearance.",มันสามารถทำให้คุณดูอ่อนเยาว์ตลอดไป โดยคงความอ่อนเยาว์เอาไว้
ItemInfo_dlc云龙三现,"Holding a dagger, stab the enemy three times at a very fast speed, hitting the key points everywhere.",ใช้มีดสั้น แทงจู่โจมศัตรูสามครั้งด้วยความเร็วที่ยากจะหยั่งถึง ทุกจุดล้วนเจาะจงที่จุดสำคัญของศัตรู
ItemInfo_dlc银蛇流光,"Like a silver snake dancing, beautiful and critical.",เหมือนดังอสรพิษเกล็ดเงินที่กำลังร่ายรำ งดงามและอันตราย
ItemInfo_dlc风雷刺法,"The moves are fierce and poisonous, like the punishment of thunder.",กระบวนท่าโหดร้ายและรุนแรงเหมือนกับการลงทัณฑ์ด้วยอัสนี
